Cards,"Pr(Win, call)","Pr(Tie, call)","Pr(Fold, call)",Pr(Fold)
"A, 2 o",0.2656280473,0.03276650888,0.2104811834,0.4911242604
"A, 3 o",0.2693326627,0.03277159763,0.2067714793,0.4911242604
"A, 4 o",0.2735970414,0.03283775148,0.2024409467,0.4911242604
"A, 5 o",0.278283787,0.03283266272,0.1977592899,0.4911242604
"A, 6 o",0.2789605917,0.03156047337,0.1983546746,0.4911242604
"A, 7 o",0.2845633136,0.03080224852,0.1935101775,0.4911242604
"A, 8 o",0.289504497,0.02956059172,0.1898106509,0.4911242604
"A, 9 o",0.293763787,0.02805431953,0.1870576331,0.4911242604
"A, 10 o",0.3022416568,0.02742840237,0.1792056805,0.4911242604
"A, J o",0.3070963314,0.02597810651,0.1758013018,0.4911242604
"A, Q o",0.3119611834,0.02329633136,0.1736182249,0.4911242604
"A, K o",0.3184391716,0.02098094675,0.1694556213,0.4911242604
"2, 3 o",0.1468004734,0.06637266272,0.2957026036,0.4911242604
"2, 4 o",0.1506730178,0.06542615385,0.292776568,0.4911242604
"2, 5 o",0.1560060355,0.06578745562,0.2870822485,0.4911242604
"2, 6 o",0.1543233722,0.06610669251,0.2884456749,0.4911242604
"2, 7 o",0.1549531051,0.0656925954,0.2882300391,0.4911242604
"2, 8 o",0.1620525489,0.06731972354,0.2795034672,0.4911242604
"2, 9 o",0.1702492546,0.06693806722,0.2716884178,0.4911242604
"2, 10 o",0.1790776016,0.06477662021,0.2650215178,0.4911242604
"2, J o",0.1919127039,0.05969931887,0.2572637169,0.4911242604
"2, Q o",0.2064169165,0.0563083024,0.2461505207,0.4911242604
"2, K o",0.2302850672,0.04532359719,0.2332670753,0.4911242604
"3, 4 o",0.1612765144,0.06650743166,0.2810917936,0.4911242604
"3, 5 o",0.1660383132,0.06582363074,0.2770137957,0.4911242604
"3, 6 o",0.1638266147,0.06673070061,0.2783184243,0.4911242604
"3, 7 o",0.1647559479,0.06646290509,0.2776568867,0.4911242604
"3, 8 o",0.1659168192,0.06723575915,0.2757231613,0.4911242604
"3, 9 o",0.1747935093,0.06771028518,0.2663719451,0.4911242604
"3, 10 o",0.1837134538,0.0648504071,0.2603118788,0.4911242604
"3, J o",0.1972972386,0.05991113813,0.2516673629,0.4911242604
"3, Q o",0.2105769705,0.05668105341,0.2416177157,0.4911242604
"3, K o",0.2382076164,0.04370919093,0.2269589323,0.4911242604
"4, 5 o",0.1750409498,0.06523778828,0.2685970015,0.4911242604
"4, 6 o",0.173327949,0.06527913438,0.2702686562,0.4911242604
"4, 7 o",0.1739246051,0.06526704859,0.269684086,0.4911242604
"4, 8 o",0.1750600327,0.06751754874,0.2662981583,0.4911242604
"4, 9 o",0.1780038751,0.06702075942,0.2638511051,0.4911242604
"4, 10 o",0.1875999874,0.06501897198,0.2562567803,0.4911242604
"4, J o",0.2005635807,0.06040665526,0.2479055037,0.4911242604
"4, Q o",0.2149895537,0.05652012166,0.2373660642,0.4911242604
"4, K o",0.2403041819,0.04540692549,0.2231646323,0.4911242604
"5, 6 o",0.1834755547,0.06527404563,0.2601261393,0.4911242604
"5, 7 o",0.1838877435,0.0644560289,0.2605319672,0.4911242604
"5, 8 o",0.1849544729,0.0662956124,0.2576256543,0.4911242604
"5, 9 o",0.1882087292,0.06660157355,0.2540654369,0.4911242604
"5, 10 o",0.1916054706,0.06446429812,0.252805971,0.4911242604
"5, J o",0.2052267849,0.06022218804,0.2434267667,0.4911242604
"5, Q o",0.2196610272,0.05688396736,0.2323307451,0.4911242604
"5, K o",0.2446092652,0.04537830127,0.2188881731,0.4911242604
"6, 7 o",0.193126371,0.0634891662,0.2522602024,0.4911242604
"6, 8 o",0.1944131889,0.0651938978,0.2492686529,0.4911242604
"6, 9 o",0.1972228156,0.06492419399,0.2467287301,0.4911242604
"6, 10 o",0.2007416869,0.06320101567,0.244933037,0.4911242604
"6, J o",0.2086636001,0.0587814354,0.2414307041,0.4911242604
"6, Q o",0.224389113,0.05557806662,0.22890856,0.4911242604
"6, K o",0.2501528234,0.04404059584,0.2146823204,0.4911242604
"7, 8 o",0.2038490055,0.06308524659,0.2419414875,0.4911242604
"7, 9 o",0.2067400522,0.06312850097,0.2390071864,0.4911242604
"7, 10 o",0.2103168081,0.06149119533,0.2370677362,0.4911242604
"7, J o",0.2174868583,0.05766636283,0.2337225185,0.4911242604
"7, Q o",0.227444908,0.05437330481,0.2270575268,0.4911242604
"7, K o",0.2547199775,0.04312525674,0.2110305054,0.4911242604
"8, 9 o",0.2163272592,0.06183913868,0.2307093418,0.4911242604
"8, 10 o",0.2198486749,0.05918281064,0.2298442541,0.4911242604
"8, J o",0.2270638878,0.05652075775,0.2252910941,0.4911242604
"8, Q o",0.236930976,0.05285622091,0.2190885427,0.4911242604
"8, K o",0.2596242613,0.04119471182,0.2080567666,0.4911242604
